"","cellids","conf1","conf2","conf3"
"586","D322","unassigned","1","2"
"587","D363","unassigned","unassigned","2"
"588","D372","unassigned","unassigned","2"
"589","D344","unassigned","unassigned","2"
"590","D354","unassigned","unassigned","2"
"591","D354","unassigned","unassigned","2"
"592","D354","unassigned","unassigned","2"
"593","D363","unassigned","unassigned","2"
"594","D353","unassigned","unassigned","2"
"595","D354","3","unassigned","2"
"596","D339","unassigned","unassigned","2"
"597","D353","unassigned","unassigned","2"
"598","D363","unassigned","unassigned","2"
"599","D367","3","1","2"
"600","D367","3","1","2"
"601","D353","unassigned","1","2"
"602","D353","3","1","2"
"603","D354","unassigned","unassigned","2"
"604","D363","3","1","2"
"605","D353","0","unassigned","2"
"606","D367","3","1","2"
"607","D372","3","1","2"
"608","D339","3","1","2"
"609","D372","unassigned","1","2"
"610","D363","unassigned","unassigned","2"
"611","D339","3","1","2"
"612","D326","3","1","2"
"613","D363","unassigned","unassigned","2"
"614","D353","3","unassigned","2"
"615","D339","unassigned","unassigned","2"
"616","D344","unassigned","unassigned","2"
"617","D326","unassigned","unassigned","2"
"618","D322","unassigned","unassigned","unassigned"
"619","D372","unassigned","unassigned","2"
"620","D372","unassigned","unassigned","2"
"621","D326","3","1","2"
"622","D372","unassigned","unassigned","2"
"623","D367","3","1","2"
"624","D372","unassigned","unassigned","2"
"625","D353","unassigned","unassigned","2"
"626","D372","unassigned","unassigned","2"
"627","D339","3","1","2"
"628","D337","unassigned","unassigned","2"
"629","D372","unassigned","1","2"
"630","D337","unassigned","unassigned","2"
"631","D353","3","1","2"
"632","D372","unassigned","unassigned","2"
"633","D354","3","1","2"
"634","D367","unassigned","unassigned","2"
"635","D339","3","1","2"
"636","D372","unassigned","unassigned","2"
"637","D372","3","1","2"
"638","D322","unassigned","unassigned","2"
"639","D372","3","1","2"
"640","D354","unassigned","unassigned","2"
"641","D363","unassigned","unassigned","2"
"642","D339","3","1","2"
"643","D339","unassigned","unassigned","2"
"644","D339","unassigned","unassigned","2"
"645","D353","unassigned","unassigned","2"
"646","D367","unassigned","unassigned","2"
"647","D363","3","1","2"
"648","D353","unassigned","1","2"
"649","D353","3","1","2"
"650","D353","3","1","2"
"651","D372","unassigned","unassigned","2"
"652","D367","unassigned","unassigned","2"
"653","D372","unassigned","unassigned","2"
"654","D354","3","1","2"
"655","D363","unassigned","unassigned","2"
"656","D344","unassigned","1","2"
"657","D326","unassigned","unassigned","2"
"658","D354","3","1","2"
"659","D354","unassigned","unassigned","2"
"660","D339","unassigned","1","2"
"661","D354","unassigned","unassigned","2"
"662","D339","unassigned","unassigned","2"
"663","D353","unassigned","unassigned","2"
"664","D367","unassigned","unassigned","2"
"665","D372","3","1","2"
"666","D353","unassigned","unassigned","2"
"667","D367","unassigned","unassigned","2"
"668","D367","3","1","2"
